,Psi,Gamma,Delta
1,0.0004624421294907393,8.20976983131703e-05,-0.012186416128520505
2,0.0015192768385661264,0.00011170557816404084,-0.0004957659535749781
3,0.0010083009577494782,0.00040338722165138036,-0.008679562972913155
4,0.00013193335865819956,7.883583764301192e-05,-0.01081896387437202
5,0.0010366726316547667,0.00013903244431901797,-0.053476506475040486
6,0.0016598378518097624,7.576996333670867e-05,-0.0066146917529415206
7,0.0010889032594494006,0.00013970101327028892,-0.0010216207154083168
8,3.438304229524589e-05,3.5889443734543435e-05,-1.68540914493667e-05
9,-3.05740894732964e-05,7.790340273290521e-05,-0.04529149576249614
10,-1.310716384988293e-05,0.00029088408838113524,-0.016335391941675367
11,0.00044791047448998846,0.0002472177311905255,-0.0027193590981703097
12,0.0004311592464332115,0.00010633684683688483,-0.00372312447694801
13,0.0004799713858124567,5.523636266970416e-06,-0.0024220940991986836
14,0.001127663792373052,3.212359019327032e-05,-0.022167587100575842
15,0.0012141837689717103,5.230634757090163e-05,-0.01407614792009497
16,4.281604505972829e-05,0.0001629233409790978,-0.028831332766974388
17,0.0003952180678719571,0.0005101676453884834,-0.00392509376116295
18,0.0010084685428762305,0.00012404806745626608,-0.01406155415831141
19,0.0006553943006486315,5.849413566475293e-05,-0.0037263534853434373
20,0.0004886570135493663,4.5896647457239504e-05,-0.00034975386576727467
21,0.003242135498177227,7.550908067964561e-05,-0.002828183905785587
22,0.0006869615463333673,0.0001265924236147926,-0.014946030048297781
23,0.0006741359205129584,3.1363777926877556e-05,-0.0038848687326373393
24,0.00013304327749019446,8.611934987069968e-05,-0.018526863369766056
25,0.00025017306206404663,0.0004662617818531917,-0.007353180475893437
26,0.000560253848115978,0.0003538734866479783,-0.016437072603915262
27,-3.3351178070517356e-05,4.877586222161927e-05,-0.01887208147853736
28,0.0004564668754567896,9.550917674860357e-05,-0.018075218222343176
29,3.976537917391339e-06,2.3956221617748908e-05,-0.024667138851075465
30,0.0006602716811473429,0.0004615735686191099,-0.008264644934596423
