,Hash,Psi,Gamma,Delta
1,c7997551-607a-419a-b121-85ead5a217d9,1.0203876083511,0.018731713742096,0.018809038126682
2,f36bc454-13d7-45a0-94a9-1e162dfa1332,0.976700439192292,0.023758809893074,0.016134351751964
3,3b708a3f-f8dc-43f7-9dd8-8fe0025e2625,0.952996044526778,0.093877852527619,0.053015757157649
4,6c983151-d0d6-46c3-9557-b0ceeb7144aa,1.59894937509135,0.024788037138256,0.020696792842987
5,f0e7aaa7-eb26-419d-8e49-0294b67115b7,1.59512056643485,0.029954944070237,-0.008827798544488
6,e6d66abf-7208-4b5e-b19f-106cd3aaa871,1.45276590437977,0.029991846814307,0.02724879984431
7,4427ca6a-fc93-4018-a256-751c33bafd8d,1.21643611859888,0.023110969054116,0.013993480516797
8,c24b5fa2-7706-44bd-84ec-9a9d6af1787b,1.41009556379517,0.036885274893942,0.015760834624809
9,f331ecf3-f86b-4904-b7e5-b217730f829e,1.77181240116832,0.028305350349287,0.021903968200689
10,19770c1c-9fbf-41de-9242-2663e0e36f0c,0.814643889704232,0.024839662541895,0.005615166605894
11,7d7eb968-cd9b-42ea-846a-d581d02f2517,1.21430983312748,0.037713507438916,0.031645037394405
12,27deba3d-ccab-48c4-8ab0-aa572ab4f5ed,1.29561886751972,0.02746641081381,0.018852890666748
13,374fd255-1573-4c10-94af-58a1191db0f2,1.08756120919972,0.037978897380743,0.032122212176402
14,1801100b-9a71-4091-93cb-389af3261789,1.54357280018106,0.033324111280647,0.016280321775764
15,a37bd782-6046-41f9-acf6-dc378ae46fb1,1.05754395783799,0.031238959683069,0.026213432888074
16,40a85d90-0990-4ad3-b61b-e23fd32c36f5,1.29771560737446,0.025763517470836,0.01100067227142
17,8bbcf1fc-db0e-4ca2-912d-99d67a05024b,1.32421530002981,0.029693004565758,0.024408329275746
18,c9dad539-e487-4bdf-a934-a6167e9106fb,1.71402716279536,0.023340215033498,0.013456882942135
19,f2f8b74e-6e43-4da7-9dc2-ee540d837d22,1.0324929269664,0.039011906774931,0.030604461408681
20,cf543026-25f0-4529-bc92-efe33ab0a482,1.55869459061814,0.02040441315145,0.011463340820894
21,e158b5e8-87f0-4aff-8e72-2d25a9f75508,1.33063554376138,0.025649825168163,0.021091693767417
22,4f3dea17-b3d2-41cd-8bed-d21b4c3ee377,1.01018960439383,0.019356816698624,0.006680171111244
23,3c57e460-f5c8-4203-8cb3-1a84731bb2e0,0.911023015101826,0.028155238848152,0.021001724180263
24,951f5067-f685-43ed-8ef9-db7480b55131,0.897126340653058,0.031767578965752,0.020693604916255
25,684aa462-0b8b-466f-a134-36dfe0312e1f,1.11494340813982,0.025703981896015,0.019068960234545
26,1fdb0854-98e9-4d9f-8ada-eee0e824ad20,1.37954443659317,0.037922029332759,0.017053275405337
27,9c4c0731-18a3-4bd9-9fda-05a3c46de09d,1.69703886666057,0.037772280671616,0.033996833440186
28,e78cad56-b38d-4b1a-b66e-e49c75a9e60e,1.95469199299563,0.020075445265325,0.00877299086282
29,00df88ea-8f23-4d7c-9e44-b8d9a85b2de6,1.39184494478742,0.035983912314835,0.033552684857682
30,78c57952-e83b-4c8a-af56-6c89e668d970,1.26098990978762,0.041526078713426,0.037000064530075
