,Hash,Psi,Gamma,Delta
1,53d22822-65de-422d-9137-9c64e68e1c4a,1.79445370775981,0.028997173638548,0.023698993133358
2,b5795796-9b02-46b2-85d4-b19b087350c5,0.787899757445665,0.018821802225451,0.015778199685181
3,06dae11a-8d00-4a8c-8fd3-9c26e5fff9e7,1.68271839891951,0.022967011898315,0.01025802647426
4,2c423185-67b7-4e22-a118-0de56d7b23a4,2.14886966646086,0.065136620627579,0.062443685610205
5,f0cbc38c-b477-444a-bbb2-016414668a4b,2.68250648061882,0.030449806155648,0.027412716766849
6,8b44910a-1ccc-41a2-b4e2-5556023c8db6,3.19683512932693,0.035571446078858,0.028941646624192
7,8837a946-52ae-44cf-94fb-8cd55f2a6f8b,1.66000913608507,0.033245325097584,0.026626047980209
8,e172dff4-0ba3-461f-af24-687986280ba8,2.38451189585502,0.035433231608776,0.030337294058999
9,dc3b44be-fa84-4569-920a-742256dc023d,0.777108046243013,0.027342092324354,0.025019054896058
10,8e211284-9e2d-41f5-a51c-c6218778cd41,2.95707762171308,0.0234187388194,0.017816956557013
11,6b638e60-328e-4235-b834-ce1387a3bcd8,1.28769772106652,0.034988610921444,0.029733163865043
12,25c4d236-68d6-4f85-848a-f1b8516f678b,1.45746247026828,0.054772618428601,0.033341994632171
13,7bf0e0c5-73e7-4164-b8f9-f3af99d74117,1.29081445394679,0.023970257362345,0.016612836523528
14,74ee43f9-7a46-484f-9174-bc6c418a52d8,3.26969362888656,0.025489758709767,0.022371545888765
15,90076446-c7c5-4043-aa62-a9aa38380d9a,0.576098300822528,0.034277036605236,0.031997094234486
16,9fb4d771-8d44-490b-85ed-a7231a8b27e6,0.614060191999325,0.054680049415119,0.018115784426824
17,1112e212-41fa-49fd-b1c0-365c40d5ae37,0.603332887845536,0.018226855257172,0.011749762558306
18,1f7a2e00-debb-4663-befe-dd41d024bf3a,2.51511943460599,0.048154407131145,0.037806973041974
19,3eb7df14-0282-4567-b857-c3be06ae1d19,1.05153820751904,0.039279902738967,0.016406200872353
20,d5377b76-cf52-4af9-a7a0-3ecc93da9369,1.02123912353516,0.052651308057898,0.039555327789971
21,381bfb16-d40a-487f-8c9f-eef7b5946a56,3.89790464010136,0.023966256232303,0.020977156434279
22,76fd71a1-5558-4891-bfec-d13b728bac35,2.74653511184733,0.019749825616517,0.018001432015588
23,0c56c3c1-0800-406c-b301-d8a1612151ec,3.43091686000657,0.037588676601688,0.030598243436284
24,264c3f81-80d2-421d-87df-db627a6e602f,1.70140387559117,0.023601922421136,0.016235163929737
25,e88348cd-6d75-4459-8489-e1b93bd03d02,2.55284121063422,0.021263537672331,0.016328198520403
26,81fbe802-81d8-48fa-bf62-935d3be2017f,2.61920732539311,0.027931644732568,0.021921347442948
27,06f92494-b2d7-41ab-9951-e5c5163a644c,2.13058317979328,0.028244404968758,0.023935996851941
28,3200fc6b-29d5-43db-892f-df497bc939a0,2.31502178013308,0.030132383332946,0.023638529045533
29,408e1eec-acac-436e-a9be-737de5cbcfe1,1.60425812208831,0.034126194666486,0.03085451450664
30,e5cbbff8-e012-43b0-8b9c-ee3b6bb19559,3.02436558022383,0.033831727148453,0.024294376548348
