,Psi,Gamma,Delta
1,0.00038565989443964583,0.00010070595295070582,-0.001290981700143936
2,0.00010926443300513915,4.805606731553431e-05,-0.00012806330932937015
3,0.011473330776442097,1.9536152712460977e-05,-0.00015434937690670357
4,0.00023813686056413797,9.575364083469998e-05,8.075443705413107e-05
5,0.001504955654454381,2.725472668591435e-05,9.582046220770854e-06
6,0.00023582838216182773,2.4665573163544284e-05,-0.00012644916018124202
7,0.004808690788309974,0.00010576529932186207,-0.0004023200277704273
8,0.05285613554930651,0.00020354794315491045,-0.0014336485557247258
9,0.0010328081781456235,5.261177350308333e-05,-8.425835467431003e-05
10,0.008427654616653341,0.00028152200677960474,0.00010093378407892005
11,0.004243694546463301,0.00011583286311037049,-0.0012290902642154138
12,0.0029162926239357217,0.0002596432149875273,-0.00046222498748838686
13,0.0023169783601712586,8.297363553819148e-05,-0.0005334363742770061
14,0.0016917533564678702,5.815438779857001e-05,1.3179910656279975e-05
15,0.0020451386433864337,0.00010085652541288496,-9.753541937267346e-05
16,0.00195281052236572,0.000171810048737362,-0.0048074433082318235
17,0.0002877043043110019,0.00010764603361522243,-0.0007512871043046298
18,0.00017961642635414205,0.0001477929896278738,-0.0008568003668463645
19,0.004637504777889278,2.670146816865736e-05,-0.00403224760241604
20,0.0014305525217122783,8.765338428664383e-05,-0.003819326950421406
21,0.004856722883189138,5.898732858425397e-05,-0.00012964297848921968
22,7.627379294136363e-05,8.993159464859361e-05,7.641525474450563e-05
23,0.0011644396716298639,0.0002520738845686425,-0.0007670819484337779
24,0.0011695166536124387,3.719208276970012e-05,-8.51073801701502e-05
25,0.007066967303917899,0.00010612946995808026,-0.0001556626013953339
26,0.0013877312320617432,7.054982791240322e-05,-0.00019755428568174124
27,0.0027619779681910695,2.5134650870333863e-05,-0.0003506281684313704
28,0.000316832090552865,0.0001632812508665248,-0.00022802532577410233
29,0.0030173716779765963,0.00024076349841480252,-0.0004403257608653786
30,0.0035353801494372233,8.912140639267682e-05,6.622881377289159e-05
