,Psi,Gamma,Delta
1,0.005915325444388386,0.04655935362264228,-0.005100461481337637
2,-0.005900772439192209,0.01846639379723246,-0.012271180907604456
3,-0.0007845729797945622,0.0384375982379999,-0.010955628901499537
4,0.009298128691110574,0.06309717732405946,-0.009406313279430423
5,0.008291640599714212,0.018594223037781448,-0.006478912179130464
6,0.010805173267498566,0.0416858333893073,-0.005306436551463178
7,-0.0005582355564882902,0.011248681887812261,-0.009706715175040487
8,0.004789067199252539,0.09600930718081274,-0.006955939552932389
9,-0.008099818343735105,0.010640839369242016,-0.014084564022384116
10,0.0009794939200495345,0.04124446944233382,-0.01019016372958731
11,-0.002306081412965677,0.024742398051658274,-0.012410211547311811
12,0.013912147772928818,0.11113564390889857,-0.010384542026051102
13,0.003900385091926542,0.017496893799761697,-0.003637338776864174
14,-0.0004698537867592334,0.07791855130857347,-0.01597018228835334
15,-0.04318985040197876,0.013502686656984147,-0.051096622485453436
16,-0.034553021244197124,0.16155620168007984,-0.041447428730936986
17,0.0031902844068841807,0.010495839282645403,-0.004513333651272836
18,0.008922749472869598,0.021574513286142006,-0.0035374746563344717
19,0.016573732901385307,0.2509822732828688,-0.016609239664904907
20,0.00457450633920678,0.03562356348757872,-0.003176444985465654
21,0.007650059514602403,0.03278616134742338,-0.006906791539380286
22,0.008403374152705867,0.07570528163678311,-0.005319012056757888
23,0.0001548065274128152,0.025675399824107277,-0.012370606363025116
24,0.003966446669643728,0.012116678731865584,-0.006843177663088285
25,0.009046195441012483,0.09100795603781252,-0.0027732725961208127
26,0.018819218722805064,0.013831226562675865,-0.004113353171680101
27,0.007709376022168382,0.029741671850341156,-0.0009457757416845847
28,-0.01633171450719023,0.016103472972539792,-0.029699735510780312
29,0.029107028681972125,0.16359037361932657,-0.0031321716466354843
30,-0.006829379239510769,0.04219094222494401,-0.03270068698726536
