,Hash,Psi,Gamma,Delta
1,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
2,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
3,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
4,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
5,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
6,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
7,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
8,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
9,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
10,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
11,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
12,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
13,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
14,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
15,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
16,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
17,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
18,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
19,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
20,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
21,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
22,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
23,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
24,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
25,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
26,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
27,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
28,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
29,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
30,ec1362b2-02a7-4c31-9e93-914e0d818521,2.3378118199243065,1.0833848703946884,-0.2680825093226211
